0 coconuts, no solution
1 coconuts, no solution
2 coconuts, no solution
3 coconuts, no solution
4 coconuts, no solution
5 coconuts, 2 people and 1 monkey
6 coconuts, no solution
7 coconuts, no solution
8 coconuts, no solution
9 coconuts, 2 people and 1 monkey
10 coconuts, no solution
11 coconuts, 2 people and 1 monkey
12 coconuts, no solution
13 coconuts, 2 people and 1 monkey
14 coconuts, no solution
15 coconuts, no solution
16 coconuts, 3 people and 1 monkey
17 coconuts, 2 people and 1 monkey
18 coconuts, no solution
19 coconuts, 2 people and 1 monkey
20 coconuts, no solution
21 coconuts, 2 people and 1 monkey
22 coconuts, no solution
23 coconuts, no solution
24 coconuts, no solution
25 coconuts, 3 people and 1 monkey
26 coconuts, no solution
27 coconuts, 2 people and 1 monkey
28 coconuts, no solution
29 coconuts, 2 people and 1 monkey
30 coconuts, no solution
31 coconuts, no solution
32 coconuts, no solution
33 coconuts, 2 people and 1 monkey
34 coconuts, no solution
35 coconuts, 2 people and 1 monkey
36 coconuts, no solution
37 coconuts, 2 people and 1 monkey
38 coconuts, no solution
39 coconuts, no solution
40 coconuts, no solution
41 coconuts, 2 people and 1 monkey
42 coconuts, no solution
43 coconuts, 3 people and 1 monkey
44 coconuts, no solution
45 coconuts, 2 people and 1 monkey
46 coconuts, no solution
47 coconuts, no solution
48 coconuts, no solution
49 coconuts, 2 people and 1 monkey
50 coconuts, no solution
51 coconuts, 2 people and 1 monkey
52 coconuts, no solution
53 coconuts, 2 people and 1 monkey
54 coconuts, no solution
55 coconuts, no solution
56 coconuts, no solution
57 coconuts, 2 people and 1 monkey
58 coconuts, no solution
59 coconuts, 2 people and 1 monkey
60 coconuts, no solution
61 coconuts, 4 people and 1 monkey
62 coconuts, no solution
63 coconuts, no solution
64 coconuts, no solution
65 coconuts, 2 people and 1 monkey
66 coconuts, no solution
67 coconuts, 2 people and 1 monkey
68 coconuts, no solution
69 coconuts, 2 people and 1 monkey
70 coconuts, 3 people and 1 monkey
71 coconuts, no solution
72 coconuts, no solution
73 coconuts, 2 people and 1 monkey
74 coconuts, no solution
75 coconuts, 2 people and 1 monkey
76 coconuts, no solution
77 coconuts, 2 people and 1 monkey
78 coconuts, no solution
79 coconuts, no solution
80 coconuts, no solution
81 coconuts, 2 people and 1 monkey
82 coconuts, no solution
83 coconuts, 2 people and 1 monkey
84 coconuts, no solution
85 coconuts, 2 people and 1 monkey
86 coconuts, no solution
87 coconuts, no solution
88 coconuts, no solution
89 coconuts, 2 people and 1 monkey
90 coconuts, no solution
91 coconuts, 2 people and 1 monkey
92 coconuts, no solution
93 coconuts, 2 people and 1 monkey
94 coconuts, no solution
95 coconuts, no solution
96 coconuts, no solution
97 coconuts, 3 people and 1 monkey
98 coconuts, no solution
99 coconuts, 2 people and 1 monkey
100 coconuts, no solution
101 coconuts, 2 people and 1 monkey
102 coconuts, no solution
103 coconuts, no solution
104 coconuts, no solution
105 coconuts, 2 people and 1 monkey
106 coconuts, 3 people and 1 monkey
107 coconuts, 2 people and 1 monkey
108 coconuts, no solution
109 coconuts, 2 people and 1 monkey
110 coconuts, no solution
111 coconuts, no solution
112 coconuts, no solution
113 coconuts, 2 people and 1 monkey
114 coconuts, no solution
115 coconuts, 2 people and 1 monkey
116 coconuts, no solution
117 coconuts, 2 people and 1 monkey
118 coconuts, no solution
119 coconuts, no solution
120 coconuts, no solution
121 coconuts, 2 people and 1 monkey
122 coconuts, no solution
123 coconuts, 2 people and 1 monkey
124 coconuts, 3 people and 1 monkey
125 coconuts, 2 people and 1 monkey
126 coconuts, no solution
127 coconuts, no solution
128 coconuts, no solution
129 coconuts, 2 people and 1 monkey
130 coconuts, no solution
131 coconuts, 2 people and 1 monkey
132 coconuts, no solution
133 coconuts, 2 people and 1 monkey
134 coconuts, no solution
135 coconuts, no solution
136 coconuts, no solution
137 coconuts, 2 people and 1 monkey
138 coconuts, no solution
139 coconuts, 2 people and 1 monkey
140 coconuts, no solution
141 coconuts, 2 people and 1 monkey
142 coconuts, no solution
143 coconuts, no solution
